"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 14 22:00:26 GMT 2021","Sat Aug 14 22:00:30 GMT 2021","4414","test","test_registration","TestConduitRegistration","","","test_registration",""
"passed","Sat Aug 14 22:00:07 GMT 2021","Sat Aug 14 22:00:08 GMT 2021","1075","test","test_decline_cookie","TestConduitCookieDecline","","","test_declinecookie",""
"passed","Sat Aug 14 22:00:05 GMT 2021","Sat Aug 14 22:00:05 GMT 2021","7","test","test_conduit","TestConduit","","","test_home_page_appearance",""
"passed","Sat Aug 14 22:00:10 GMT 2021","Sat Aug 14 22:00:11 GMT 2021","1502","test","test_list_pagination","TestConduitListPagination","","","test_pagination",""
"passed","Sat Aug 14 22:00:32 GMT 2021","Sat Aug 14 22:00:40 GMT 2021","7971","test","test_xcreate_bio","TestConduitCreateBio","","","test_createbio",""
"passed","Sat Aug 14 22:00:13 GMT 2021","Sat Aug 14 22:00:14 GMT 2021","1402","test","test_logout","TestConduitLogout","","","test_logout",""
"passed","Sat Aug 14 21:59:59 GMT 2021","Sat Aug 14 22:00:00 GMT 2021","1053","test","test_accept_cookie","TestConduitCookieAccept","","","test_acceptcookie",""
"passed","Sat Aug 14 21:59:50 GMT 2021","Sat Aug 14 21:59:57 GMT 2021","7125","test","test_1login","TestConduitLogin","","","test_login",""
"passed","Sat Aug 14 22:00:16 GMT 2021","Sat Aug 14 22:00:24 GMT 2021","8049","test","test_modify_bio","TestConduitModifyBio","","","test_modifybio",""
"broken","Sat Aug 14 22:00:02 GMT 2021","Sat Aug 14 22:00:04 GMT 2021","1917","test","test_add_articles_from_csv","TestConduitAddArticlesCsv","","","test_add_articles_csv",""
